003  00447 |Loss: 1.846 | Acc: 29.972% 
003  00448 |Loss: 1.846 | Acc: 30.029% 
003  00449 |Loss: 1.846 | Acc: 30.016% 
003  00450 |Loss: 1.845 | Acc: 30.044% 
003  00451 |Loss: 1.844 | Acc: 30.124% 
003  00452 |Loss: 1.843 | Acc: 30.150% 
003  00453 |Loss: 1.841 | Acc: 30.238% 
003  00454 |Loss: 1.840 | Acc: 30.248% 
003  00455 |Loss: 1.841 | Acc: 30.233% 
003  00456 |Loss: 1.840 | Acc: 30.298% 
003  00457 |Loss: 1.838 | Acc: 30.367% 
003  00458 |Loss: 1.837 | Acc: 30.415% 
003  00459 |Loss: 1.837 | Acc: 30.445% 
003  00460 |Loss: 1.836 | Acc: 30.474% 
003  00461 |Loss: 1.836 | Acc: 30.429% 
003  00462 |Loss: 1.836 | Acc: 30.385% 
003  00463 |Loss: 1.836 | Acc: 30.403% 
003  00464 |Loss: 1.836 | Acc: 30.393% 
003  00465 |Loss: 1.835 | Acc: 30.437% 
003  00466 |Loss: 1.834 | Acc: 30.522% 
003  00467 |Loss: 1.834 | Acc: 30.516% 
003  00468 |Loss: 1.834 | Acc: 30.464% 
003  00469 |Loss: 1.834 | Acc: 30.459% 
003  00470 |Loss: 1.833 | Acc: 30.499% 
003  00471 |Loss: 1.833 | Acc: 30.533% 
003  00472 |Loss: 1.832 | Acc: 30.552% 
003  00473 |Loss: 1.831 | Acc: 30.604% 
003  00474 |Loss: 1.830 | Acc: 30.626% 
003  00475 |Loss: 1.830 | Acc: 30.685% 
003  00476 |Loss: 1.828 | Acc: 30.804% 
003  00477 |Loss: 1.828 | Acc: 30.813% 
003  00478 |Loss: 1.827 | Acc: 30.823% 
003  00479 |Loss: 1.826 | Acc: 30.788% 
003  00480 |Loss: 1.825 | Acc: 30.793% 
003  00481 |Loss: 1.825 | Acc: 30.767% 
003  00482 |Loss: 1.825 | Acc: 30.738% 
003  00483 |Loss: 1.824 | Acc: 30.761% 
003  00484 |Loss: 1.822 | Acc: 30.796% 
003  00485 |Loss: 1.821 | Acc: 30.876% 
003  00486 |Loss: 1.822 | Acc: 30.880% 
003  00487 |Loss: 1.821 | Acc: 30.896% 
003  00488 |Loss: 1.820 | Acc: 30.957% 
003  00489 |Loss: 1.820 | Acc: 31.008% 
003  00490 |Loss: 1.819 | Acc: 31.035% 
003  00491 |Loss: 1.819 | Acc: 31.013% 
003  00492 |Loss: 1.819 | Acc: 30.988% 
003  00493 |Loss: 1.818 | Acc: 30.995% 
003  00494 |Loss: 1.817 | Acc: 30.967% 
003  00495 |Loss: 1.817 | Acc: 30.973% 
003  00496 |Loss: 1.816 | Acc: 31.006% 
003  00497 |Loss: 1.815 | Acc: 31.053% 
003  00498 |Loss: 1.814 | Acc: 31.084% 
003  00499 |Loss: 1.814 | Acc: 31.086% 
003  00500 |Loss: 1.813 | Acc: 31.123% 
003  00501 |Loss: 1.812 | Acc: 31.211% 
003  00502 |Loss: 1.811 | Acc: 31.243% 
003  00503 |Loss: 1.811 | Acc: 31.268% 
003  00504 |Loss: 1.810 | Acc: 31.292% 
003  00505 |Loss: 1.810 | Acc: 31.319% 
003  00506 |Loss: 1.809 | Acc: 31.329% 
003  00507 |Loss: 1.809 | Acc: 31.359% 
003  00508 |Loss: 1.809 | Acc: 31.334% 
003  00509 |Loss: 1.808 | Acc: 31.350% 
003  00510 |Loss: 1.808 | Acc: 31.356% 
003  00511 |Loss: 1.808 | Acc: 31.394% 
003  00512 |Loss: 1.808 | Acc: 31.390% 
003  00513 |Loss: 1.808 | Acc: 31.395% 
003  00514 |Loss: 1.807 | Acc: 31.426% 
003  00515 |Loss: 1.807 | Acc: 31.428% 
003  00516 |Loss: 1.806 | Acc: 31.436% 
003  00517 |Loss: 1.805 | Acc: 31.466% 
003  00518 |Loss: 1.805 | Acc: 31.461% 
