001  00309 |Loss: 1.594 | Acc: 42.016% 
001  00310 |Loss: 1.593 | Acc: 42.056% 
001  00311 |Loss: 1.593 | Acc: 42.072% 
001  00312 |Loss: 1.592 | Acc: 42.102% 
001  00313 |Loss: 1.591 | Acc: 42.108% 
001  00314 |Loss: 1.590 | Acc: 42.148% 
001  00315 |Loss: 1.589 | Acc: 42.197% 
001  00316 |Loss: 1.587 | Acc: 42.242% 
001  00317 |Loss: 1.586 | Acc: 42.291% 
001  00318 |Loss: 1.585 | Acc: 42.325% 
001  00319 |Loss: 1.584 | Acc: 42.349% 
001  00320 |Loss: 1.583 | Acc: 42.383% 
001  00321 |Loss: 1.582 | Acc: 42.441% 
001  00322 |Loss: 1.581 | Acc: 42.493% 
001  00323 |Loss: 1.580 | Acc: 42.536% 
001  00324 |Loss: 1.579 | Acc: 42.578% 
001  00325 |Loss: 1.578 | Acc: 42.606% 
001  00326 |Loss: 1.576 | Acc: 42.657% 
001  00327 |Loss: 1.575 | Acc: 42.704% 
001  00328 |Loss: 1.573 | Acc: 42.788% 
001  00329 |Loss: 1.572 | Acc: 42.848% 
001  00330 |Loss: 1.572 | Acc: 42.865% 
001  00331 |Loss: 1.571 | Acc: 42.891% 
001  00332 |Loss: 1.570 | Acc: 42.922% 
001  00333 |Loss: 1.570 | Acc: 42.929% 
001  00334 |Loss: 1.569 | Acc: 42.964% 
001  00335 |Loss: 1.567 | Acc: 43.008% 
001  00336 |Loss: 1.566 | Acc: 43.076% 
001  00337 |Loss: 1.565 | Acc: 43.115% 
001  00338 |Loss: 1.564 | Acc: 43.135% 
001  00339 |Loss: 1.563 | Acc: 43.132% 
001  00340 |Loss: 1.562 | Acc: 43.176% 
001  00341 |Loss: 1.561 | Acc: 43.209% 
001  00342 |Loss: 1.560 | Acc: 43.234% 
001  00343 |Loss: 1.560 | Acc: 43.263% 
001  00344 |Loss: 1.560 | Acc: 43.269% 
001  00345 |Loss: 1.558 | Acc: 43.324% 
001  00346 |Loss: 1.557 | Acc: 43.380% 
001  00347 |Loss: 1.557 | Acc: 43.394% 
001  00348 |Loss: 1.555 | Acc: 43.431% 
001  00349 |Loss: 1.554 | Acc: 43.486% 
001  00350 |Loss: 1.554 | Acc: 43.509% 
001  00351 |Loss: 1.552 | Acc: 43.559% 
001  00352 |Loss: 1.552 | Acc: 43.581% 
001  00353 |Loss: 1.551 | Acc: 43.630% 
001  00354 |Loss: 1.550 | Acc: 43.671% 
001  00355 |Loss: 1.549 | Acc: 43.693% 
001  00356 |Loss: 1.549 | Acc: 43.728% 
001  00357 |Loss: 1.548 | Acc: 43.750% 
001  00358 |Loss: 1.547 | Acc: 43.794% 
001  00359 |Loss: 1.545 | Acc: 43.828% 
001  00360 |Loss: 1.545 | Acc: 43.845% 
001  00361 |Loss: 1.544 | Acc: 43.867% 
001  00362 |Loss: 1.542 | Acc: 43.931% 
001  00363 |Loss: 1.541 | Acc: 44.000% 
001  00364 |Loss: 1.539 | Acc: 44.038% 
001  00365 |Loss: 1.539 | Acc: 44.075% 
001  00366 |Loss: 1.538 | Acc: 44.130% 
001  00367 |Loss: 1.537 | Acc: 44.142% 
001  00368 |Loss: 1.536 | Acc: 44.192% 
001  00369 |Loss: 1.535 | Acc: 44.216% 
001  00370 |Loss: 1.534 | Acc: 44.265% 
001  00371 |Loss: 1.533 | Acc: 44.302% 
001  00372 |Loss: 1.532 | Acc: 44.338% 
001  00373 |Loss: 1.532 | Acc: 44.345% 
001  00374 |Loss: 1.530 | Acc: 44.393% 
001  00375 |Loss: 1.529 | Acc: 44.433% 
001  00376 |Loss: 1.530 | Acc: 44.415% 
001  00377 |Loss: 1.529 | Acc: 44.463% 
001  00378 |Loss: 1.527 | Acc: 44.519% 
001  00379 |Loss: 1.526 | Acc: 44.579% 
001  00380 |Loss: 1.525 | Acc: 44.605% 
001  00381 |Loss: 1.524 | Acc: 44.648% 
001  00382 |Loss: 1.523 | Acc: 44.691% 
001  00383 |Loss: 1.522 | Acc: 44.729% 
001  00384 |Loss: 1.522 | Acc: 44.743% 
001  00385 |Loss: 1.521 | Acc: 44.781% 
001  00386 |Loss: 1.521 | Acc: 44.782% 
001  00387 |Loss: 1.520 | Acc: 44.800% 
001  00388 |Loss: 1.519 | Acc: 44.837% 
